,YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
681,2003,4,7,49.23433856,-123.1396315,12,45,0,1,7
682,2003,8,29,49.23475627,-123.1820376,8,25,4,1,2
683,2003,9,23,49.23473408,-123.1730675,10,12,1,1,7
685,2003,1,20,49.23473901,-123.1757599,15,20,0,1,7
687,2003,7,5,49.2338184,-123.1223909,15,55,5,1,17
688,2003,6,20,49.23365219,-123.1178713,16,20,4,1,17
689,2003,5,16,49.26889985,-123.1455986,15,30,4,1,9
690,2003,5,14,49.23855752,-123.1786721,9,22,2,1,2
692,2003,5,22,49.23918487,-123.1553887,12,25,3,1,0
693,2003,12,20,49.24237014,-123.185253,17,45,5,1,2
695,2003,10,18,49.24211087,-123.1534882,17,12,5,1,0
696,2003,10,12,49.24211087,-123.1534882,8,38,6,1,0
697,2003,3,28,49.25261302,-123.1274118,17,20,4,1,16
698,2003,5,16,49.25352158,-123.1273729,17,59,4,1,16
699,2003,6,1,49.25398411,-123.1152125,18,40,6,1,17
700,2003,3,1,49.25649262,-123.1908029,0,55,5,1,2
703,2003,11,28,49.2558642,-123.1151207,16,43,4,1,17
705,2003,1,2,49.25751293,-123.1649289,19,0,3,1,0
707,2003,5,24,49.25800406,-123.1851191,9,50,5,1,9
710,2003,5,15,49.25877373,-123.1761201,11,51,3,1,9
711,2003,6,14,49.25871249,-123.1267678,3,52,5,1,3
712,2003,10,22,49.25883036,-123.1339147,18,14,2,1,3
713,2003,8,5,49.25883036,-123.1339147,19,50,1,1,3
714,2003,8,4,49.26111206,-123.1577391,16,30,0,1,9
716,2003,1,16,49.26111206,-123.1577391,8,12,3,1,9
718,2003,6,17,49.26118317,-123.1647899,12,39,1,1,9
723,2003,10,7,49.26030665,-123.1069947,9,20,1,1,11
724,2003,6,8,49.26137606,-123.1682678,8,33,6,1,9
725,2003,11,3,49.26049183,-123.1199417,10,4,0,1,3
726,2003,9,17,49.26079466,-123.1387028,2,42,2,1,3
727,2003,8,22,49.26079466,-123.1387028,6,10,4,1,3
728,2003,3,27,49.26083667,-123.1411493,6,0,3,1,3
730,2003,5,21,49.26038892,-123.1149938,23,55,2,1,3
732,2003,11,2,49.26071045,-123.1338373,23,0,6,1,3
733,2003,1,8,49.26071045,-123.1338373,18,25,2,1,3
734,2003,12,13,49.26114471,-123.1601581,12,15,5,1,9
736,2003,4,18,49.26147541,-123.1740681,21,20,4,1,9
737,2003,6,20,49.26173624,-123.1411107,19,30,4,1,3
738,2003,7,14,49.26321113,-123.1682328,12,13,0,1,9
740,2003,11,25,49.26362063,-123.1939229,19,30,1,1,23
741,2003,10,14,49.26285454,-123.1529753,17,40,1,1,9
742,2003,8,17,49.26348088,-123.1859093,19,25,6,1,23
744,2003,8,15,49.26111206,-123.1577391,15,0,4,1,9
747,2003,10,9,49.26292918,-123.1576761,8,32,3,1,9
751,2003,7,24,49.24513589,-123.0651801,7,0,3,1,6
752,2003,2,21,49.28120643,-123.0655852,17,45,4,1,4
753,2003,10,20,49.26228935,-123.0659174,19,27,0,1,6
754,2003,8,16,49.26228935,-123.0659174,23,5,5,1,6
755,2003,8,1,49.26228935,-123.0659174,19,0,4,1,6
757,2003,7,29,49.26228935,-123.0659174,17,40,1,1,6
759,2003,7,20,49.26228935,-123.0659174,0,37,6,1,6
760,2003,10,29,49.22026362,-123.0658753,7,47,2,1,21
763,2003,7,5,49.22026362,-123.0658753,18,37,5,1,21
764,2003,12,27,49.22313314,-123.0658241,21,55,5,1,21
767,2003,12,9,49.2251661,-123.0657719,15,30,1,1,21
771,2003,7,6,49.2251661,-123.0657719,7,53,6,1,21
774,2003,3,30,49.23268627,-123.0655346,20,0,6,1,21
776,2003,1,16,49.23268627,-123.0655346,15,58,3,1,21
778,2003,11,25,49.23748079,-123.0654448,16,10,1,1,6
779,2003,8,23,49.24405643,-123.0652337,17,40,5,1,6
782,2003,10,26,49.2595368,-123.065955,11,5,6,1,6
783,2003,1,3,49.2595368,-123.065955,20,48,4,1,6
784,2003,4,5,49.27664425,-123.0683838,15,19,5,1,4
785,2003,2,28,49.24968607,-123.1592416,8,37,4,1,0
786,2003,2,14,49.24517845,-123.1533329,7,5,4,1,0
787,2003,4,23,49.23200799,-123.0312628,22,20,2,1,14
789,2003,8,5,49.2246316,-123.0322744,13,40,1,1,8
790,2003,2,20,49.27910633,-123.0565631,9,0,3,1,4
791,2003,3,1,49.25751293,-123.1649289,20,53,5,1,0
794,2003,10,7,49.28248538,-123.1280525,14,50,1,1,22
797,2003,1,11,49.27759257,-123.1354365,5,48,5,1,22
798,2003,8,23,49.26986066,-123.0838803,17,0,5,1,19
799,2003,12,20,49.27073057,-123.0874284,14,44,5,1,19
803,2003,12,20,49.28479868,-123.0597185,17,22,5,1,4
807,2003,12,12,49.20859717,-123.1209557,17,46,4,1,10
808,2003,9,23,49.20859717,-123.1209557,11,50,1,1,10
809,2003,9,5,49.20859717,-123.1209557,23,34,4,1,10
812,2003,3,20,49.20859717,-123.1209557,11,55,3,1,10
814,2003,9,15,49.21226023,-123.1099803,14,46,0,1,10
816,2003,10,11,49.22578166,-123.1684216,18,5,5,1,7
817,2003,2,6,49.23319243,-123.1923203,17,0,3,1,12
818,2003,12,11,49.2070373,-123.1244253,18,25,3,1,10
819,2003,12,3,49.2070373,-123.1244253,16,53,2,1,10
820,2003,7,9,49.21004931,-123.1171698,8,10,2,1,10
822,2003,11,15,49.29801387,-123.1254657,13,11,5,1,18
823,2003,7,4,49.31103699,-123.1425722,14,38,4,1,18
826,2003,8,1,49.23104695,-123.0946382,16,5,4,1,20
827,2003,12,7,49.25376953,-123.0938846,12,20,6,1,15
830,2003,6,16,49.27716336,-123.1166001,15,36,0,1,1
831,2003,5,21,49.27716336,-123.1166001,20,0,2,1,1
832,2003,10,27,49.28221947,-123.1244356,4,15,0,1,22
837,2003,11,16,49.26200067,-123.049589,1,34,6,1,14
838,2003,9,23,49.25067568,-123.0496189,18,20,1,1,14
840,2003,9,22,49.25067568,-123.0496189,1,25,0,1,14
841,2003,1,26,49.25067568,-123.0496189,10,30,6,1,14
843,2003,7,11,49.25813085,-123.0285444,12,20,4,1,14
844,2003,10,17,49.24534864,-123.0285508,15,55,4,1,14
845,2003,10,28,49.2807142,-123.1188083,1,0,1,1,1
846,2003,10,19,49.27649772,-123.1251911,4,40,6,1,1
847,2003,10,6,49.23277204,-123.0332413,13,49,0,1,14
848,2003,10,5,49.21221488,-123.0771235,9,22,6,1,20
849,2003,1,10,49.21221488,-123.0771235,17,22,4,1,20
850,2003,6,27,49.20964005,-123.066122,16,18,4,1,21
857,2003,12,20,49.21108669,-123.0943255,1,49,5,1,20
858,2003,2,26,49.20782638,-123.0389084,16,30,2,1,8
860,2003,6,9,49.21097231,-123.0911399,16,29,0,1,20
862,2003,5,2,49.21097231,-123.0911399,9,41,4,1,20
863,2003,7,25,49.21104304,-123.0807052,16,55,4,1,20
864,2003,3,9,49.21097678,-123.0720826,23,30,6,1,21
867,2003,3,25,49.26728524,-123.0987899,15,50,1,1,11
868,2003,11,10,49.24069546,-123.0377665,20,0,0,1,14
870,2003,3,30,49.24069546,-123.0377665,10,45,6,1,14
871,2003,12,13,49.25812042,-123.0338767,20,0,5,1,14
876,2003,4,7,49.25812042,-123.0338767,17,0,0,1,14
877,2003,9,12,49.26381439,-123.0338394,14,24,4,1,5
878,2003,9,2,49.25230051,-123.0338727,8,52,1,1,14
879,2003,10,23,49.2807142,-123.1188083,1,30,3,1,1
880,2003,10,20,49.28010349,-123.1178719,12,30,0,1,1
881,2003,9,17,49.28010349,-123.1178719,0,38,2,1,1
882,2003,10,23,49.28263609,-123.1217692,21,59,3,1,1
883,2003,8,19,49.28941588,-123.1322923,19,5,1,1,22
884,2003,6,25,49.28340971,-123.1128748,13,46,2,1,1
886,2003,1,9,49.28340971,-123.1128748,19,18,3,1,1
887,2003,10,15,49.2847069,-123.1109251,21,0,2,1,1
891,2003,9,6,49.2782752,-123.0441058,20,5,5,1,5
892,2003,3,7,49.26193984,-123.0443249,11,33,4,1,14
893,2003,4,3,49.25061489,-123.0442598,8,54,3,1,14
894,2003,5,10,49.27325586,-123.0441701,18,32,5,1,5
896,2003,7,14,49.27494639,-123.1019672,15,32,0,1,1
897,2003,4,9,49.27658466,-123.0897484,13,20,2,1,19
898,2003,6,30,49.28118883,-123.0914755,9,10,0,1,19
899,2003,10,22,49.23298779,-123.0972105,8,0,2,1,20
900,2003,7,31,49.23298779,-123.0972105,11,50,3,1,20
901,2003,11,24,49.28484152,-123.0637337,22,45,0,1,4
904,2003,4,17,49.2838572,-123.07036,1,29,3,1,4
905,2003,10,15,49.27145082,-123.1681784,21,43,2,1,9
906,2003,8,23,49.26087877,-123.1434859,13,15,5,1,3
908,2003,1,2,49.27965112,-123.1365833,17,22,3,1,22
910,2003,8,2,49.27696639,-123.1324377,11,0,5,1,22
913,2003,3,26,49.276811,-123.1089689,11,20,2,1,1
916,2003,10,12,49.27397418,-123.1213354,18,40,6,1,1
917,2003,10,15,49.21076244,-123.1315605,20,19,2,1,10
918,2003,1,29,49.26300714,-123.1048977,18,40,2,1,11
922,2003,6,2,49.26924103,-123.1046634,18,47,0,1,11
923,2003,11,14,49.25663828,-123.1051728,18,36,4,1,15
924,2003,8,5,49.25663828,-123.1051728,9,20,1,1,15
926,2003,7,3,49.25663828,-123.1051728,18,30,3,1,15
927,2003,7,14,49.20847011,-123.1302639,22,47,0,1,10
928,2003,5,31,49.21073699,-123.1302012,19,8,5,1,10
932,2003,5,4,49.21073699,-123.1302012,12,21,6,1,10
935,2003,12,20,49.21711571,-123.1292567,17,30,5,1,10
937,2003,5,14,49.22153322,-123.1285129,20,51,2,1,13
938,2003,4,10,49.22568021,-123.1283589,14,45,3,1,13
939,2003,11,16,49.22653482,-123.1283061,20,50,6,1,13
940,2003,10,1,49.22653482,-123.1283061,12,45,2,1,13
942,2003,3,27,49.22930543,-123.1282446,17,52,3,1,13
943,2003,11,5,49.24143148,-123.1278364,6,35,2,1,16
944,2003,1,26,49.24143148,-123.1278364,19,47,6,1,16
946,2003,6,25,49.25352158,-123.1273729,19,0,2,1,16
947,2003,2,3,49.25711085,-123.1272172,5,6,0,1,16
948,2003,9,3,49.21445223,-123.1300324,19,32,2,1,10
949,2003,1,30,49.21445223,-123.1300324,22,8,3,1,10
952,2003,11,1,49.27442503,-123.208744,17,30,5,1,23
953,2003,9,30,49.25061588,-123.0416078,17,10,1,1,14
954,2003,3,22,49.28977895,-123.1294053,0,22,5,1,22
955,2003,1,1,49.28248538,-123.1280525,0,19,2,1,22
956,2003,12,19,49.27733967,-123.1201063,19,33,4,1,1
957,2003,5,27,49.27487919,-123.1159898,9,10,1,1,1
959,2003,7,9,49.27486251,-123.0695498,17,24,2,1,4
960,2003,9,7,49.25779666,-123.0566487,22,20,6,1,6
961,2003,11,6,49.24186538,-123.0581279,8,10,3,1,14
962,2003,11,4,49.24186538,-123.0581279,15,30,1,1,14
963,2003,1,9,49.24186538,-123.0581279,15,22,3,1,14
964,2003,8,1,49.21583248,-123.059347,22,0,4,1,21
966,2003,5,5,49.26212338,-123.0565986,14,28,0,1,6
967,2003,4,13,49.26212338,-123.0565986,21,11,6,1,6
968,2003,3,27,49.26212338,-123.0565986,19,30,3,1,6
969,2003,10,5,49.23282478,-123.0588728,23,27,6,1,21
970,2003,9,1,49.24578803,-123.0566624,18,14,0,1,6
972,2003,9,21,49.2847733,-123.0565283,18,0,6,1,4
973,2003,7,12,49.2847733,-123.0565283,13,45,5,1,4
974,2003,7,8,49.28659932,-123.0565304,8,30,1,1,4
975,2003,10,14,49.26586133,-123.1205596,13,3,1,1,3
976,2003,9,4,49.28130921,-123.0741238,13,26,3,1,4
977,2003,11,26,49.28870749,-123.049327,13,48,2,1,5
978,2003,12,24,49.28873213,-123.0545526,19,0,2,1,5
980,2003,12,24,49.21289455,-123.0251132,3,10,2,1,8
986,2003,11,20,49.22421386,-123.163994,14,50,3,1,7
989,2003,10,26,49.24779383,-123.1075036,1,30,6,1,15
991,2003,6,22,49.27769172,-123.0999106,2,38,6,1,1
994,2003,5,23,49.27769172,-123.0999106,22,50,4,1,1
996,2003,1,20,49.27274434,-123.0999418,17,17,0,1,19
997,2003,12,1,49.2767562,-123.0999362,17,50,0,1,1
998,2003,7,11,49.2767562,-123.0999362,12,20,4,1,1
1001,2003,5,19,49.2767562,-123.0999362,4,45,0,1,1
1002,2003,11,30,49.28318807,-123.0995642,22,17,6,1,1
1003,2003,12,6,49.23358673,-123.1015524,13,37,5,1,15
1004,2003,12,17,49.28134395,-123.099698,7,10,2,1,1
1006,2003,9,29,49.28134395,-123.099698,9,57,0,1,1
1007,2003,1,30,49.28134395,-123.099698,12,0,3,1,1
1010,2003,1,16,49.28134395,-123.099698,8,25,3,1,1
1011,2003,10,7,49.24935582,-123.1010626,11,37,1,1,15
1015,2003,10,29,49.25462713,-123.1009359,13,23,2,1,15
1016,2003,1,21,49.25839595,-123.101136,15,52,1,1,11
1018,2003,11,18,49.26019497,-123.1011672,16,40,1,1,11
1022,2003,1,8,49.24233029,-123.1702227,15,40,2,1,2
1023,2003,3,14,49.26407477,-123.168167,19,10,4,1,9
1024,2003,7,25,49.25774183,-123.1683791,8,45,4,1,9
1025,2003,3,27,49.27145082,-123.1681784,11,38,3,1,9
1026,2003,2,10,49.26233858,-123.1682436,8,36,0,1,9
1027,2003,10,8,49.26348301,-123.0284925,21,45,2,1,5
1028,2003,3,18,49.26559797,-123.0237104,17,20,1,1,14
1029,2003,9,30,49.26857977,-123.0996997,9,1,1,1,11
1030,2003,5,23,49.25081388,-123.1275034,9,15,4,1,16
1031,2003,10,19,49.21917009,-123.1261311,17,20,6,1,10
1035,2003,5,5,49.2247182,-123.0426161,15,25,0,1,8
1036,2003,4,4,49.23288623,-123.0417165,16,19,4,1,8
1037,2003,8,14,49.26938621,-123.1377647,19,29,3,1,3
1038,2003,9,29,49.28117259,-123.061694,18,15,0,1,4
1040,2003,9,20,49.20947118,-123.0773251,9,0,5,1,20
1041,2003,6,20,49.23273312,-123.077073,16,44,4,1,6
1042,2003,12,12,49.24643342,-123.0762424,6,12,4,1,6
1044,2003,5,16,49.27209423,-123.0657243,15,45,4,1,4
1046,2003,2,1,49.27209423,-123.0657243,12,0,5,1,4
1047,2003,7,21,49.23593539,-123.0423372,6,50,0,1,14
1051,2003,7,18,49.23593539,-123.0423372,15,21,4,1,14
1052,2003,12,24,49.24695968,-123.0690297,15,0,2,1,6
1053,2003,10,17,49.24695968,-123.0690297,19,20,4,1,6
1054,2003,7,15,49.2320355,-123.0292711,16,55,1,1,8
1055,2003,10,12,49.25013056,-123.076097,23,0,6,1,6
1059,2003,1,6,49.25013056,-123.076097,12,5,0,1,6
1061,2003,8,4,49.23416549,-123.0359345,2,0,0,1,14
1062,2003,6,3,49.23416549,-123.0359345,7,45,1,1,14
1063,2003,5,14,49.23416549,-123.0359345,15,9,2,1,14
1066,2003,5,1,49.23416549,-123.0359345,22,0,3,1,14
1067,2003,4,5,49.25294216,-123.0818041,13,40,5,1,6
1068,2003,5,16,49.24848686,-123.0723158,14,29,4,1,6
1069,2003,7,14,49.25987507,-123.0965762,6,49,0,1,11
1070,2003,10,10,49.26196918,-123.0986694,15,28,4,1,11
1076,2003,9,25,49.24893596,-123.0733608,18,40,3,1,6
1077,2003,3,11,49.24578277,-123.0665412,23,40,1,1,6
1078,2003,1,29,49.2793013,-123.0896159,4,45,2,1,19
1079,2003,7,9,49.24003205,-123.0301276,9,0,2,1,14
1084,2003,6,15,49.23416549,-123.0359345,14,30,6,1,14
1085,2003,4,9,49.23416549,-123.0359345,8,45,2,1,14
1087,2003,8,11,49.23641501,-123.0336009,12,42,0,1,14
1088,2003,9,26,49.22926262,-123.0374006,5,50,4,1,8
1089,2003,5,17,49.28351319,-123.133899,23,52,5,1,22
1091,2003,7,16,49.2877212,-123.1274748,12,30,2,1,22
1092,2003,9,12,49.28527776,-123.1158492,9,35,4,1,1
1093,2003,12,29,49.28312455,-123.1191579,8,58,0,1,1
1096,2003,12,12,49.27779983,-123.1272017,22,12,4,1,1
1099,2003,12,24,49.27627495,-123.131391,15,49,2,1,1
1100,2003,3,4,49.2794556,-123.126601,17,27,1,1,1
1101,2003,9,27,49.27842979,-123.1184591,3,9,5,1,1
1103,2003,7,26,49.27733967,-123.1201063,9,43,5,1,1
1104,2003,10,1,49.26355929,-123.1360991,19,55,2,1,3
1105,2003,8,4,49.26355929,-123.1360991,15,56,0,1,3
1107,2003,5,24,49.26355929,-123.1360991,7,0,5,1,3
1109,2003,2,28,49.2799362,-123.1142692,10,23,4,1,1
1110,2003,5,25,49.27419776,-123.1307806,15,46,6,1,1
1113,2003,2,11,49.27536247,-123.126893,12,15,1,1,1
1114,2003,5,27,49.28464909,-123.1148577,13,59,1,1,1
1115,2003,9,7,49.24950519,-123.1390972,15,59,6,1,16
1117,2003,7,17,49.26617407,-123.1384705,22,30,3,1,3
1118,2003,8,19,49.21050907,-123.1404706,18,26,1,1,10
1120,2003,8,28,49.21136365,-123.1404455,17,30,3,1,10
1121,2003,8,25,49.26676777,-123.1384584,13,42,0,1,3
1124,2003,9,3,49.23536407,-123.1395932,19,13,2,1,16
1127,2003,5,2,49.24088746,-123.139334,15,40,4,1,16
1128,2003,12,6,49.24188595,-123.1393231,19,30,5,1,16
1129,2003,9,19,49.24188595,-123.1393231,21,48,4,1,16
1131,2003,4,15,49.24188595,-123.1393231,18,33,1,1,16
1132,2003,8,5,49.25705253,-123.1388023,10,5,1,1,16
1133,2003,5,18,49.25891462,-123.1387388,20,10,6,1,3
1134,2003,4,9,49.26079466,-123.1387028,4,0,2,1,3
1135,2003,6,17,49.2474092,-123.1391737,4,15,1,1,16
1138,2003,3,23,49.2474092,-123.1391737,3,15,6,1,16
1144,2003,2,9,49.27127565,-123.0657507,18,46,6,1,4
1149,2003,8,20,49.25813085,-123.0285444,7,42,2,1,14
1153,2003,6,20,49.25812042,-123.0338767,22,35,4,1,14
1157,2003,11,27,49.25818885,-123.0442941,0,21,3,1,14
1160,2003,10,25,49.25818885,-123.0442941,19,20,5,1,14
1161,2003,12,15,49.27670483,-123.096884,17,46,0,1,19
1163,2003,5,17,49.28130986,-123.0974705,12,10,5,1,19
1164,2003,4,22,49.28130986,-123.0974705,20,38,1,1,19
1165,2003,1,21,49.28130986,-123.0974705,21,54,1,1,19
1166,2003,4,7,49.21826764,-123.0909473,13,30,0,1,20
1169,2003,3,14,49.21826764,-123.0909473,18,38,4,1,20
1170,2003,4,24,49.22543705,-123.0907133,10,30,3,1,20
1171,2003,3,18,49.22543705,-123.0907133,12,45,1,1,20
1172,2003,8,19,49.23098721,-123.0906135,16,6,1,1,20
1173,2003,5,23,49.23098721,-123.0906135,8,15,4,1,20
1174,2003,6,24,49.24661227,-123.0902025,17,50,1,1,15
1175,2003,1,25,49.25008448,-123.0901263,20,37,5,1,15
1178,2003,2,24,49.28218408,-123.0703851,15,7,0,1,4
1179,2003,10,18,49.2697914,-123.1374221,12,30,5,1,3
1180,2003,10,17,49.27577095,-123.1147545,9,45,4,1,1
1181,2003,4,30,49.27576488,-123.1020514,19,40,2,1,1
1186,2003,3,17,49.27804595,-123.1061669,17,0,0,1,1
1188,2003,11,21,49.22592748,-123.0546894,9,35,4,1,21
1189,2003,1,11,49.23756097,-123.0488227,22,39,5,1,14
1190,2003,8,11,49.28027707,-123.0704374,13,23,0,1,4
1191,2003,9,28,49.28044217,-123.102281,8,55,6,1,1
1192,2003,11,28,49.24887555,-123.1050051,14,55,4,1,15
1193,2003,4,7,49.24877112,-123.1010751,21,15,0,1,15
1194,2003,10,8,49.24851136,-123.0761907,11,28,2,1,6
1195,2003,10,13,49.28115154,-123.0493469,16,11,0,1,5
1198,2003,2,10,49.28118952,-123.0636465,16,20,0,1,4
1199,2003,10,17,49.28115368,-123.0440396,15,50,4,1,5
1200,2003,10,17,49.28115368,-123.0440396,5,58,4,1,5
1201,2003,4,25,49.28115368,-123.0440396,21,33,4,1,5
1202,2003,3,2,49.28115368,-123.0440396,20,44,6,1,5
1203,2003,12,12,49.28123225,-123.093428,18,30,4,1,19
1205,2003,10,29,49.28123225,-123.093428,23,3,2,1,19
1207,2003,1,1,49.28123225,-123.093428,6,15,2,1,19
1209,2003,11,5,49.28130986,-123.0974705,10,55,2,1,19
1210,2003,10,2,49.28134324,-123.0771075,13,30,3,1,19
1211,2003,6,22,49.28134324,-123.0771075,10,52,6,1,19
1254,2003,4,9,49.2822885,-123.0996311,16,16,2,1,1
1255,2003,3,21,49.28220214,-123.0953685,11,15,4,1,19
1256,2003,8,22,49.2618886,-123.0365319,12,42,4,1,14
1257,2003,12,31,49.26189847,-123.0336594,20,28,2,1,14
1258,2003,4,9,49.26189847,-123.0336594,11,57,2,1,14
1259,2003,10,7,49.26212338,-123.0565986,22,35,1,1,6
1261,2003,9,25,49.26212338,-123.0565986,7,35,3,1,6
1262,2003,7,25,49.26212338,-123.0565986,2,37,4,1,6
1269,2003,5,30,49.26212338,-123.0565986,7,55,4,1,6
1273,2003,4,28,49.26212338,-123.0565986,12,0,0,1,6
1274,2003,6,10,49.26225552,-123.0620415,13,43,1,1,6
1275,2003,3,6,49.26286796,-123.099537,2,10,3,1,11
1276,2003,5,28,49.262512,-123.0949595,18,0,2,1,11
1277,2003,8,28,49.26338313,-123.08523,16,0,3,1,11
1278,2003,2,3,49.26459377,-123.1009975,22,31,0,1,11
1280,2003,12,17,49.26416709,-123.0697685,7,25,2,1,4
1281,2003,7,11,49.26423413,-123.0774931,10,37,4,1,11
